Formatted_Question,Answer_Hindi,English_Translated
जूता : चमड़ा :: राजमार्ग : ?,डामर,"Question: Shoe : Leather :: Highway :?

Options:
A. Conductor
B. Wagon
C. Tarmac
D. Doctor"
डायनासौर : ड्रैगन :: हिम : ?,आइस,"Question: Dinosaur : Dragon :: Ice :?

Options:
A. Revelation
B. Soldier
C. Ice
D. Medieval"
इंक : पेपर :: चाक : ?,ब्लैकबोर्ड,"Question: Ink : Paper :: Chalk :?

Options:
A. Pencil
B. Painting
C. Blackboard
D. Ballpoint Pen"
निर्वाचित : अभिषेक :: दण्डित : ?,फांसी,"Question: Elected : Abhishek :: Punished :?
Options:
A. Graduate
B. Hanging
C. Sacked
D. Exhibition"
भारी : फैट :: खुशी : ?,आनंद,"Question: Heavy : Fat :: Happiness :?

Options:
A. Bad
B. Ugly
C. Joy
D. Sorrow"
उड़ना : चिड़िया :: रेंगना : ?,घोंघा,"Question: Fly : Bird :: Crawl :?

Options:
A. Airplane
B. Snail
C. Ground
D. Flower"
घड़ी : टाइम :: थर्मामीटर : ?,तापमान,"Question: Watch : Time :: Thermometer :?

Options:
A. Heat
B. Radiation
C. Energy
D. Temperature"
आयात : निर्यात :: व्यय : ?,आय,"Question: Import : Export :: Expenditure :?

Options:
A. Loss
B. Income
C. Debt
D. Tax"
महासागर : जल :: ग्लेशियर : ?,बर्फ,"Question: Ocean : Water :: Glacier :?
Options:
A. Refrigerator
B. Ice
C. Mountain
D. Cave"
चिकित्सा : बीमारी :: पुस्तक : ?,अज्ञान,"Question: Medicine : Disease :: Book :?

Options:
A. Ignorance
B. Knowledge
C. Author
D. Teacher"
बैंक : नदी :: समुद्रतट : ?,सागर,"Question: Bank : River :: Seashore :?

Options:
A. Flood
B. Waves
C. Sea
D. Beach"
थंडर : बारिश :: रात : ?,अंधकार,"Question: Thunder : Rain :: Night :?

Options:
A. Day
B. Dawn
C. Darkness
D. Evening"
कोर्ट : न्याय :: स्कूल : ?,शिक्षा,"Question: Court : Justice :: School :?

Options:
A. Teacher
B. Student
C. Ignorance
D. Education"
समीर : चक्रवात :: बूंदा-बांदी : ?,बरसात,"Question: Samir : Cyclone :: Booda-Bandi :?

Options:
A. Earthquake
B. Hurricane
C. Flood
D. Rainfall"
ऑक्सीजन : प्रज्वलित :: कार्बन डाइऑक्साइड : ?,बुझाना,"Question: Oxygen : Ignited :: Carbon Dioxide :?
Options:
A. अलग
B. फोम
C. बुझाना
D. विस्फोट"
तेहरान : ईरान :: बीजिंग : ?,चीन,"Question: Tehran : Iran :: Beijing :?
Options:
A. China
B. Japan
C. Turkey
D. Malaysia"
रोग : पैथोलॉजी :: ग्रह : ?,खगोल विज्ञान,"Question: Disease : Pathology :: Planet :?

Options:
A. Astrology
B. Geology
C. Astronomy
D. Paleontology"
दूरदर्शिता : पूर्वज्ञान :: निद्राभाव : ?,अनिद्रा,"Question: Farsightedness : Myopia :: Insomnia :?

Options:
A. Treatment
B. Disease
C. Insomnia
D. Restlessness"
महासागर : प्रशांत :: द्वीप : ?,ग्रीनलैंड,"Question: Ocean : Pacific :: Island :?

Options:
A. Greenland
B. Ireland
C. Netherlands
D. Borneo"
क्षयरोग : फेफड़ा :: मोतियाबिंद : ?,आँख,"Question: Tuberculosis : Lung :: Cataract :?

Options:
A. Ear
B. Throat
C. Skin
D. Eye"
ओएसिस : रेत :: द्वीप : ?,जल,"Question: OASIS : SAND :: ISLAND :?

Options:
A. RIVER
B. SEA
C. WATER
D. WAVES"
मेजर : बटालियन :: कर्नल : ?,रेजिमेंट,"Question: MAJOR : BATTALION :: COLONEL :?
Options:
A. COMPANY
B. REGIMENT
C. ARMY
D. SOLDIER"
चिल्लाना : कानाफूसी :: दौड़ना : ?,पैदल आना,"Question: Shouting : Whispering :: Running :?

Options:
A. Stopping
B. Standing
C. Walking
D. Barking"
शराब : अंगूर :: वोडका : ?,आलू,"Question: Liquor : Grape :: Vodka :?

Options:
A. Apple
B. Potato
C. Orange
D. Flour"
धड़कना : काँपना :: जाँचना : ?,परीक्षा करना,"Question: Beat : Tremble :: Check :?

Options:
A. Run
B. Sleep
C. Examine
D. Dancer"
मछली : स्कूल :: वुल्फ : ?,पैक,"Question: Fish : School :: Wolf :?

Options:
A. Pack
B. Jungle
C. Tribes
D. Peacock"
ओडोमीटर : दूरी :: स्केल : ?,वजन,"Question: Odometer : Distance :: Scale :?

Options:
A. Weight
B. Width
C. Foot
D. Speed"
वेट्रेस : ​​रेस्तरां :: शिक्षक : ?,स्कूल,"Question: WAITRESS : ​​RESTAURANT :: TEACHER :?

Options:
A. DIAGNOSIS
B. ROLE
C. TRUCK
D. SCHOOL"
अंटी : यार्न :: जिस्ता : ?,पेपर,"Question: Anteater : Yarn :: Jist :?

Options:
A. Lemon
B. Coal
C. Paper
D. Wood"
पैडल : साइकिल :: पतवार : ?,कश्ती,"Question: Paddle : Cycle :: Oar :?

Options:
A. Criterion
B. Leap
C. Automobile
D. Belt"
खंड : भाग :: परत : ?,एक के ऊपर एक,"Question: Layer : Part :: Stratum :?

Options:
A. one over one
B. bundle
C. poem
D. stage"
अवसादग्रस्त : दुख :: क्षीण : ?,थका,"Question: Depressed : Sorrow :: Weak :?

Options:
A. Thoughtful
B. Obsequious
C. Industrious
D. Retrograde"
ब्रिसल : ब्रश :: कुंजी : ?,पियानो,"Question: Bristle : Brush :: Key :?

Options:
A. Foot
B. Curtain
C. Chair
D. Piano"
प्यासे : पानी :: भूखे : ?,भोजन,"Question: Thirsty : Water :: Hungry :?
Options:
A. Cake
B. Bread
C. Food
D. Dal"
कपास : गठरी :: अनाज : ?,बोरा,"Question: Cotton : Bundle :: Grain :?

Options:
A. Churning
B. Fermentation
C. Store
D. Cheese"
हाथी : दृढ़त्वचीय प्राणी :: कंगारू : ?,धानी प्राणी,"Question: Elephant : Thick-skinned animal :: Kangaroo :?

Options:
A. Cockroach
B. Armadillo
C. Grassland animal
D. Horse"
मनोवैज्ञानिक : न्युरोसिस :: नेत्र रोग विशेषज्ञ : ?,मोतियाबिंद,"Question: Psychologist : Neurosis :: Ophthalmologist :?

Options:
A. Cataract
B. Fracture
C. Paediatrician
D. Orthopedist"
देहाती : ग्रामीण :: मेट्रोपोलिटन : ?,शहरी,"Question: Rural : Rural :: Metropolitan :?

Options:
A. Urban
B. Sharad
C. Altruism
D. Nocturnal"
दर्जी : सूट :: संपादन : ?,पांडुलिपि,"Question: Tailor : Suit :: Editing :?

Options:
A. Agent
B. Manuscript
C. Author
D. Opinion"
बाइडिंग : पुस्तक :: फ़्रेम : ?,पिक्चर,"Question: BIDING : BOOK :: FRAME :?

Options:
A. GANG
B. MUSEUM
C. CARPENTER
D. HAMMER"
अन्वेषण : खोज :: अनुसंधान : ?,ज्ञान,"Question: Exploration : Search :: Research :?

Options:
A. Rant
B. Knowledge
C. Print
D. Relevant"
सैनिक : सेना :: खिलाड़ी : ?,टीम,"Question: Soldier : Army :: Player :?

Options:
A. Game
B. Tournament
C. Sports
D. Captain"
वर्ग : घन :: वृत्त : ?,गोला,"Question: Square : Cube :: Circle :?

Options:
A. Spherical Body
B. Circumference
C. Diameter
D. Area"
गाय : दूध :: वृक्ष : ?,फल,"Question: Cow : Milk :: Tree :?
Options:
A. Stems
B. Fruits
C. Wood
D. Shade"
