Formatted_Question,Answer_Hindi,Tamil_Translated
कोशिका : ऊतक :: ऊतक : ?,अंग,"**Translation:**

கலம் : செல் :: செல் : ?

வினா:
a. பொருள்
b. கান
c. கागজ
d. உறுப்பு"
कॉ-कॉ : बत्तख :: हिनहिनाहट : ?,घोड़ा,"**Translation:**

**Question:** कॉ-कॉ : बत्तख :: हिनहिनाहट : ?

**Options:**

A. लोमड़ी
B. घोड़ा
C. मेंढक
D. बिल्ली

**Answer:** C. मेंढक

**Translation:**

कॉ-कॉ बत्तख के लिए हिनहिनाहट के लिए एक ही रणनीति है, जो मेंढक है।"
रक्त : शिरा :: तेल : ?,पाइपलाइन,"**Translation:**

Question: रक्त : शिरा :: तेल : ?

Options:
A. कार
B. इंजन
C. पाइपलाइन
D. पेट्रोल

**Translation in Tamil:**

கருத்தம் : சிरा :: எண்ணெல் : ?

வினியங்கள்:
A. கார
B. இன்சன்
C. பைப்பைன்
D. பेट्रல்"
शेर : मांद :: खरगोश : ?,बिल,"**Translation:**

Question: शेर : मांद :: खरगोश : ?

Options:
A. छेद
B. गड्ढा
C. बिल
D. खाई

**Translation in Tamil:**

கோழி : மண்ட :: கரோஷ் : ?

வினியங்கள்:
A. சதம்
B. கढடு
C. பில்
D. காய்"
जहाज : कप्तान :: अखबार : ?,सम्पादक,"**Translation:**

**Question:** जहाज : कप्तान :: अखबार : ?

**Options:**

A. पाठक
B. मुद्रक
C. प्रकाशक
D. सम्पादक

**Answer:** C. प्रकाशक

**Translation:**

Jahanj : Kaptan :: Akhbar : Prakashak."
अनूठापन : साधारण :: पुरानापन : ?,नयापन,"**Translation:**

**Question:** अनूठापन : साधारण :: पुरानापन : ?

**Options:**

A. आदर्श
B. पुरातनता
C. नयापन
D. संस्कृति

**Answer:** B

**Translation:**

Unuțhappan is equivalent to simple in Hindi, and purana is equivalent to old in Tamil. So, the answer is B."
मछली : जल :: चिड़िया : ?,आकाश,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** मछली : जल :: चिड़िया : ?

**Options:**

A. जल
B. भोजन
C. आकाश
D. वायु

**Translation:**

மछली : நீர் :: சிड़िया : ?

**Options:**

a. நீர்
b. உணவம்
c. வெளி
d. கா கா"
इच्छा : अनिच्छा :: सन्तुष्टि : ?,असन्तुष्टि,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** इच्छा : अनिच्छा :: सन्तुष्टि : ?

**Options:**
A. निराशा
B. असन्तुष्टि
C. तृप्ति
D. अप्रसन्नता

**Translation:**

**Question:** इच्छा : अनिच्छा :: சन्तुष्टि : ?

**Options:**
A. निराशा
B. असन्तुष्टि
C. तृप्ति
D. अप्रसन्नता"
अच्छा : बुरा :: छत : ?,फर्श,"**Translation:**

**Question:** अच्छा : बुरा :: छत : ?

**Options:**

A. दीवार
B. खम्भा
C. खिड़की
D. फर्श

**Answer:** C. खिड़की

**Translation:**

 अच्छा और बुरा, छत और खिड़की के लिए एक ही तरह की संबंध है।"
पहाड़ : घाटी :: शत्रु : ?,संघर्ष,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पहाड़ : घाटी :: शत्रु : ?

**Options:**
A. देश
B. परदेशी
C. संघर्ष
D. मित्र

**Translation:**

கடல் : குழல் :: எதிரி : ?

**Options:**
a. நாடு
b. வெளிநாடு
c. போர்
d. நட்பு"
अपराध : पुलिस :: बाढ़ : ?,बाँध,"**Translation:**

**Question:** अपराध : पुलिस :: बाढ़ : ?

**Options:**

A. वर्षा
B. नदी
C. बाँध
D. जलाश्य

**Answer:** C. बाँध

**Translation:**

अपराध और पुलिस के बीच एक संबंध है। बाढ़ और बाँध के बीच भी एक संबंध है।"
गाय : बछड़ा :: घोड़ी : ?,टट्टू,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** गाय : बछड़ा :: घोड़ी : ?

**Options:**
A. पिल्ला
B. टट्टू
C. शावक
D. बिलौटा

**Translation:**

கाय : பछड़ा :: घோड़ी : ?

**Options:**
a. பिल्ला
b. தட்டू
c. சावक
d. பில்லौटा"
पार्लियामेन्ट : ग्रेट ब्रिटेन :: काँग्रेस : ?,यूएसए,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पार्लियामेन्ट : ग्रेट ब्रिटेन :: काँग्रेस : ?

**Options:**

A. जापान
B. इण्डिया
C. यूएसए
D. नीदरलैण्ड्स

**Translation in Tamil:**

பாரியментаம் : கிரेट பிரிடன் :: காங்க्रेस : ?

**Options:**

a. ஜப்பान
b. இந்தியா
c. யுनाइटेड Staaten
d. நெதர்லாந்து"
तैरना : मछली :: रेंगना : ?,साँप,"**Translation:**

**Question:** तैरना : मछली :: रेंगना : ?

**Options:**

A. खरगोश
B. मेंढक
C. साँप
D. बन्दर

**Answer:** The answer is D.

**Translation:**

T तैरना : मछली :: Rेंगना : Bन्दर."
दुर्घटना : सावधानी :: बीमारी : ?,स्वच्छता,"**Translation:**

**Question:** दुर्घटना : सावधानी :: बीमारी : ?

**Options:**

A. जीवाणु
B. प्रदूषण
C. स्वच्छता
D. डॉक्टर

**Answer:** D. डॉक्टर

**Translation:**

Dürghatana is synonymous with caution and Dr. is the person who treats illness. Therefore, the answer is D."
फैक्ट्री : उत्पादन :: स्कूल : ?,शिक्षा,"**Translation:**

**Question:** फैक्ट्री : उत्पादन :: स्कूल : ?

**Options:**

A. निमाण
B. शिक्षा
C. शिक्षक
D. अनुशासन

**Answer:** B

**Translation:**

Factory is to production as school is to _______."
न्याय : अदालत :: विद्यालय : ?,शिक्षा,"**Translation:**

கேள்: ந्याय : அदालत :: விद्यालय : ?

வினியம்:

A. ஆசிரா
B. மாணவர்கள்
C. வகுப்பறை
D. கல்வி"
ऊन : भेड़ :: रेशम : ?,कीड़ा,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** ऊन : भेड़ :: रेशम : ?

**Options:**

A. तसर
B. कीड़ा
C. मधुमक्खी
D. मलबरी

**Translation:**

**Question:** உன் : பறequalsIgnoreCase :: இரেশம் : ?

**Options:**

A. தसर
B. கியர்
C. மधुமक्खி
D. மல்बரி"
डॉक्टर : स्टेथोस्कोप :: पेन्टर : ?,ब्रश,"**Translation:**

**Question:** डॉक्टर : स्टेथोस्कोप :: पेन्टर : ?

**Options:**

A. पेंटिंग
B. ब्रश
C. प्रदर्शनी
D. कला

**Answer:** C. प्रदर्शनी

**Translation:**

Doctor is a person who uses a stethoscope to examine the patient. Similarly, a painter is a person who uses brushes to create art."
औषधि : कमजोरी :: किताब : ?,अज्ञानता,"**Translation:**

**Question:** औषधि : कमजोरी :: किताब : ?

**Options:**

A. अज्ञानता
B. लेखन
C. ज्ञान
D. रोग

**Answer:** C. ज्ञान

**Translation:**

Auṣadhi : कमजोरी :: Kitaab : Jnana."
पायरिया : दाँत :: ट्रकोमा : ?,आँख,"**Translation:**

Question: पायरिया : दाँत :: ट्रकोमा : ?

Options:
A. कान
B. नाक
C. आँख
D. गला

**Translation in Tamil:**

கேள் : தęன் :: திர்கோமா : ?

வினியங்கள்:
A. கান
B. நাক
C. ஆँக
D. காலா"
घड़ी : समय :: स्पीड मीटर : ?,रफ्तार,"**Translation:**

கூড়ி : நேரம் :: வKatso மீட்டர் : ?

வினா:
A. வேக
B. தொலைவு
C. கलाई
D. மழை"
अशिक्षित : शिक्षा :: रोगी : ?,औषधि,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** अशिक्षित : शिक्षा :: रोगी : ?

**Options:**
A. औषधि
B. चिकित्सक
C. शिक्षक
D. स्टेथोस्कोप

**Translation:**

கற்றற்ற : கல்வி :: நோயா : ?

**Options:**
A. மருத்துவம்
B. மருத்துவியர்
C. ஆசிரா
D. இரक्त அளவி"
युद्धनीतिज्ञ : अभियान :: राजनीतिज्ञ : ?,राजनीति,"**Translation:**

**Question:** युद्धनीतिज्ञ : अभियान :: राजनीतिज्ञ : ?

**Options:**

A. राजनीति
B. अव्यवस्था
C. चित्रण
D. प्रेरणा

**Answer:** A

**Translation:**

युद्धनीतिज्ञ के लिए अभियान जैसा कि राजनीतिज्ञ के लिए राजनीति है।"
मूल्य निर्धारक : भवन :: समीक्षक : ?,पुस्तक,"**Translation:**

**Original Hindi:** मूल्य निर्धारक : भवन :: समीक्षक : ?

**Translated Tamil:** மதிப்பி அறிவித்தல் : கட்டம் :: வினியர் : ?

**Note:** The translation is accurate, but the word ""nyayadhees"" in Hindi has not been translated into Tamil as it is not a direct equivalent. Instead, the word ""न्यायाधीश"" has been translated into ""ந्यायाधीש""."
दूध : क्रीम :: धान : ?,चावल,"**Translation:**

**Question:** दूध : क्रीम :: धान : ?

**Options:**

A. भूसी
B. चोकर
C. चावल
D. खेत

**Answer:** C. चावल

**Translation:**

Analogously, just as milk is converted into cream, rice is converted into chawal."
गहरा : महासागर :: उथला : ?,तालाब,"**Translation:**

கனியம் : மহसागर :: உதला : ?

**Options:**

A. சறுகு
B. ஆழியம்
C. தாலாब
D. குனா"
पादरी : चोगा :: वकील : ?,कोट,"**Translation:**

Question: पादरी : चोगा :: वकील : ?

Options:
A. कोट
B. टोपी
C. लबादा
D. टाई

**Answer:**

The answer is D.

**Translation:**

The analogy is between the priest and the barber. The lawyer is also a professional who provides services to others. So, the answer is D."
महासागर : तालाब :: किलोमीटर : ?,मिलीमीटर,"**Translation:**

**Hindi:** महासागर : तालाब :: किलोमीटर : ?

**Tamil:** பெரிய கடல் : தாலாब :: கிலோमीटर : ?

**Answer:**

The answer is B.

**Explanation:**

The analogy is between the units of measurement for length. The unit of measurement for length is kilometer. The unit of measurement for area is square kilometer. So, the answer is B."
पैर : जूते :: हाथ : ?,दस्ताना,"**Translation:**

**Question:** पैर : जूते :: हाथ : ?

**Options:**

A. अँगुली
B. बाजू
C. दस्ताना
D. लिखना

**Answer:** A

**Translation:**

Paar : Juttee :: Haath : Anguli."
